Topplista,Titlar,Platform,MetaScore,UserScore,ReleaseDate,Publishers,Developers
286,Tom Clancy's The Division 2: Warlords of New York,PC,79,0.5,"March 3, 2020",Massive Entertainment,Massive Entertainment
287,Part Time UFO,Switch,79,7.3,"October 28, 2020",Nintendo,HAL Labs
288,Mafia: Definitive Edition,Xbox One,79,7.6,"September 25, 2020",2K Games,Hangar 13
289,Moving Out,PC,79,7.4,"April 28, 2020",Team17,SMG Studio
290,Sega Ages: Puyo Puyo 2,Switch,78,7.8,"February 20, 2020",Sega,"M2, Compile"
291,Othercide,PC,78,6.9,"July 27, 2020",Focus Home Interactive,Lightbulb Crew
292,Relicta,Xbox One,78,6.6,"August 4, 2020",Ravenscourt,Mighty Polygon
293,Hyrule Warriors: Age of Calamity,Switch,78,8.1,"November 20, 2020",Nintendo,"Omega Force, Koei Tecmo Games"
294,Aokana - Four Rhythms Across the Blue,Switch,78,NA,"August 21, 2020",PQube,"NekoNyan Ltd., Sprite"
295,Tell Me Why,Xbox One,78,6.0,"August 27, 2020",Xbox Game Studios,DONTNOD Entertainment
296,Observer: System Redux,Xbox Series X,78,7.1,"November 10, 2020",Aspyr,Bloober Team
297,Budget Cuts,PlayStation 4,78,NA,"July 10, 2020",Neat Corporation,Neat Corporation
298,Ibb & Obb,Switch,78,6.8,"March 5, 2020",Sparpweed,Sparpweed
299,Double Dragon & Kunio-kun Retro Brawler Bundle,Switch,78,8.0,"February 20, 2020",Arc System Works,Arc System Works
300,Granblue Fantasy: Versus,PlayStation 4,78,6.4,"March 3, 2020",XSEED Games,Arc System Works
301,Immortals: Fenyx Rising,PC,78,7.9,"December 3, 2020",Ubisoft,Ubisoft Quebec
302,Freedom Finger,Xbox One,78,8.7,"March 24, 2020",Wide Right Interactive,Wide Right Interactive
303,SUPERHOT: MIND CONTROL DELETE,PC,78,6.6,"July 16, 2020",SUPERHOT,SUPERHOT
304,Alba: a Wildlife Adventure,PC,78,8.0,"December 11, 2020",ustwo,ustwo
305,Mobile Suit Gundam: Extreme VS. MaxiBoost ON,PlayStation 4,78,7.3,"July 30, 2020",Bandai Namco Games,Bandai Namco Games
306,Visage,Xbox One,78,7.3,"October 30, 2020",SadSquare Studio,SadSquare Studio
307,In Other Waters,Switch,78,6.6,"April 3, 2020",Fellow Traveller,Jump Over The Age
308,The Room VR: A Dark Matter,PC,78,7.8,"March 26, 2020",Fireproof Games,Fireproof Games
309,Burnout Paradise Remastered,Switch,78,7.8,"June 19, 2020",Electronic Arts,STELLAR ENTERTAINMENT SOFTWARE LTD
310,The Procession to Calvary,PC,78,7.2,"April 9, 2020",Joe Richardson,Joe Richardson
311,Not Tonight: Take Back Control Edition,Switch,78,5.8,"January 31, 2020",No More Robots,Panic Barn Ltd
312,Spellbreak,Xbox One,78,7.3,"September 3, 2020","Proletariat, Inc.","Proletariat, Inc."
313,Control: The Foundation,PlayStation 4,78,6.2,"March 26, 2020",505 Games,Remedy Entertainment
314,Murder by Numbers,Switch,78,7.5,"March 5, 2020",The Irregular Corporation,Mediatonic
315,Sega Ages: Shinobi,Switch,78,7.7,"January 23, 2020",Sega,"Sega, M2"
316,KUNAI,PC,78,7.8,"February 6, 2020",TurtleBlaze,TurtleBlaze
317,Moving Out,Xbox One,78,6.8,"April 28, 2020",Team17,Sold Out
318,Shady Part of Me,PC,78,6.2,"December 10, 2020",Focus Home Interactive,Douze Dixiemes
319,Remnant: From the Ashes - Subject 2923,PC,78,5.7,"August 20, 2020",Perfect World Entertainment,Gunfire Games
320,Trials of Mana,PC,78,7.7,"April 24, 2020",Square Enix,"Square Enix, Xeen"
321,John Wick Hex,PlayStation 4,78,5.8,"May 5, 2020",Good Shepherd Entertainment,Mike Bithell
322,Oddworld: Abe's Oddysee - New 'n' Tasty,Switch,78,7.4,"October 27, 2020",Oddworld Inhabitants,Square One Games
323,Fury Unleashed,PlayStation 4,78,6.6,"May 8, 2020",Awesome Games Studio,Awesome Games Studio
324,Good Job!,Switch,78,7.7,"March 26, 2020",Nintendo,"Nintendo, Paladin Studios"
325,Sakuna: Of Rice and Ruin,PlayStation 4,78,8.0,"November 10, 2020",XSEED Games,Edelweiss
326,RIDE 4,Xbox One,78,4.3,"October 5, 2020",Milestone S.r.l,Milestone S.r.l
327,Going Under,PC,78,NA,"September 24, 2020",Team17,AggroCrab
328,Haven,Xbox Series X,78,7.5,"December 3, 2020",The Game Bakers,The Game Bakers
329,EA SPORTS UFC 4,PlayStation 4,78,1.5,"August 14, 2020",Electronic Arts,Electronic Arts
330,PGA Tour 2K21,Xbox One,78,6.2,"August 21, 2020",2K Games,HB Studios Multimedia
331,Star Wars: Squadrons,Xbox One,78,5.0,"October 2, 2020",Electronic Arts,Motive Studios
332,art of rally,PC,78,7.4,"September 23, 2020",Funselektor Labs Inc.,Funselektor Labs Inc.
333,Iratus: Lord of the Dead,PC,78,6.6,"April 23, 2020",Unfrozen,Unfrozen
334,Inmost,Switch,78,7.6,"August 21, 2020",Chucklefish,Hidden Layer Games
335,Atomicrops,PC,78,7.4,"May 28, 2020",Raw Fury,"Daniel Wynne, Bird Bath Games"
336,Depixtion,Switch,78,7.8,"February 28, 2020","DevHour Games, LLC","DevHour Games, LLC"
337,Story of Seasons: Friends of Mineral Town,Switch,77,8.1,"July 14, 2020",XSEED Games,Marvelous Inc.
338,Shinsekai: Into the Depths,Switch,77,7.9,"March 26, 2020",Capcom,Capcom
339,HARDCORE MECHA,PlayStation 4,77,6.8,"January 14, 2020",Arc System Works,"RocketPunch Games, China Hero Project"
340,The Pathless,PlayStation 5,77,8.1,"November 12, 2020",iam8bit,Giant Squid
341,I Am Dead,PC,77,5.8,"October 8, 2020",Annapurna Interactive,Hollow Ponds and Richard Hogg
342,Othercide,PlayStation 4,77,7.4,"July 28, 2020",Focus Home Interactive,Lightbulb Crew
343,Football Manager 2021,Xbox Series X,77,NA,"November 30, 2020",Sega,Sports Interactive
